POLITICS_SUBGOAL	Objective #$NUMBER$
manage_occupied_territories_empty	§RYou have no occupied territories.§!
manage_occupied_territories_puppet	§RYou must increase your autonomy before you can release nations.§!
manage_occupied_territories_desc	§TYou can change occupation policy and release countries whose core territories you occupy.§!
not_releaseable	§RNone of your provinces are core territory of $COUNTRY|H$§!
REMOVE_GOAL_TITLE	Remove Goal
REMOVE_GOAL_DESC	Are you sure you wish to remove $GOAL|H$?
REPLACE_GOAL_TITLE	Replace Goal
REPLACE_GOAL_DESC	Are you sure you wish to replace $OLD|H$ with $NEW|H$?
CHANGE_IDEA	§GClick to change $IDEA|H$§!
REMOVE_IDEA	§GClick to remove $IDEA|H$§!
REMOVE_IDEA_POLITICAL_POWER	§RYou lack the §Hpolitical power§! to remove this idea.\nRemoval cost (£pol_power ): $VALUE|0$§!
REMOVE_IDEA_ARMY_XP	§RYou lack the §HArmy Experience§! to remove this idea.\nRemoval cost (£pol_power): $VALUE|0$§!
POLITICS_GOAL_LEADS_TO	§TUnlocks future goals:§!
MANAGE_GOVERNMENT_DESC	Change laws, hire or dismiss ministers and commission research from companies. Most of these actions cost §Ypolitical power§!.
POLITICS_JUSTIFY_WARGOAL	§T$OWNER|H$ is justifying a $TYPE|H$ war goal against $TARGET|H$§!
POLITICS_TIMEDACTIVITY_WARGOAL_PROGRESS	§T$TYPE|H$: $PROGRESS|1H%$ complete§!
POLITICS_TIMED_ACTIVITY_STATES	$TYPE|H$ of $STATES|H$ from $TARGET|H$
POLITICS_TIMED_ACTIVITY_PP_PROGRESS	Progress ( £pol_power ): $CURRENT|H1$/$REQUIRED|H1$
POLITICS_TIMED_ACTIVITY_PP_DAILY	Daily gain ( £pol_power ): $PP|H1$
POLITICS_TIMED_ACTIVITY_DAY_PROGRESS	Progress: $CURRENT|H1$/$REQUIRED|H1$ days
POLITICS_TIMED_ACTIVITY_FINISHED	§TExpected completion: $DATE|H$§!
POLITICS_TIMED_ACTIVITY_WARGOAL_DESC	§TOnce $OWNER|H$ finishes justifying the war goal, it can declare war on $TARGET|H$§!
FOCUS_AT_WAR	§TTakes $PEACE|H0$ days to complete.§!
POLITICS_TIMED_ACTIVITY_MAINTAIN_COST	$NAME|Y$ in $TARGET|Y$: $COST|=+2$ $FREQUENCY$
IDEA_WINDOW_ADD	Select $GROUP|Y$
IDEA_WINDOW_SWITCH	Replace §Y$IDEA$?§!
IDEA_WINDOW_CANNOT_SWITCH	§RCannot replace $IDEA$!§!
POLITICS_NATIONAL_SPIRIT	National Spirit
POLITICS_NO_IDEAS_FOR_COUNTRY	Your country has no $GROUP|H$ ideas
POLITICS_NO_MORE_IDEAS_FOR_COUNTRY	Your country has no other $GROUP|H$ ideas
POLITICS_ADD_IDEA_GROUP	$GROUP|H$ idea group\n
POLITICS_ONLY_IDEA_FOR_COUNTRY	$IDEA|H$ is your only $GROUP|H$ option
POLITICS_TIMED_ACTIVITY_BOOST_PARTY_POPULARITY_DAILY_DRIFT	Daily change: $VALUE|Y$
POLITICS_STAGE_COUP_TITLE	Stage a Coup
COUP_START_STATE	Select the state where the revolution will begin. If none is selected, its starting location will depend on other factors.
POLITICS_STAGE_COUP_STATE	The winds of revolution blow from $STATE|H$.
POLITICS_STAGE_COUP_INVALIDATE	\n\n§HThe coup will automatically be cancelled if the target enters a civil war, changes ideology or joins the same faction.§!
WEEKLY_CHANGE	Weekly change:\n
STABILITY_EFFECT_HEADER	§HCurrently affected by:§!\n
WAR_SUPPORT_EFFECT_HEADER	§HCurrently affected by:§!\n
RELEASE_NATION	Release Nation
RETURN_TERRITORY	Return Territory
RELEASE_NATION_STATES	§TReleases $COUNTRY|H$ in these states: $LIST|H$§!
RELEASE_NATION_STATES_DESC	§GRight-click§! to go to the first §Hcore state§!
RETURN_TERRITORY_STATES	§TReturns these states to $COUNTRY|H$: $LIST|H$§!
REPLACE_IDEA	Replace $IDEA$
POLITICS_PAUSED_NO_POLITICAL_POWER	§RThis action is paused due to insufficient political power§!
RELEASE_NATION_NOT_POSSIBLE	§TReleasing $COUNTRY|H$ in $LIST|H$§! is not possible:\n\n
RELEASE_NATION_NOT_POSSIBLE_EMPTY	§TReleasing $COUNTRY|H$ is not possible:§!\n\n
RETURN_TERRITORY_NOT_POSSIBLE	§TReturning $LIST|H$ to $COUNTRY|H$§! is not possible:\n\n
RETURN_TERRITORY_NOT_POSSIBLE_EMPTY	§TReturning territory to $COUNTRY|H$§! is not possible:\n\n
RETURN_TERRITORY_NOT_POSSIBLE_AT_WAR	You are at war with this country.
RETURN_STATES_NOT_POSSIBLE_NOT_CONTROLLED	States marked in red are not under your control.
RETURN_STATES_NOT_POSSIBLE_NOT_OWNED	You do not yet own any territory belonging to this country.
IDEA_COST_POLITICAL_POWER	Cost (£pol_power ): $VALUE|-0$
IDEA_COST_ARMY_XP	Cost (£army_experience ): $VALUE|-0$
POLITICS_ADVISOR_COST	Cost (£pol_power ): $VALUE|-0$
COMMAND_POWER_ADVISOR_COST	\nCost (£command_power ): $VALUE|-0$
COMMAND_POWER_ALLOCATION_ADVISOR_COST	\nAllocated (£command_power ): $VALUE|-0$
COMMAND_POWER_CAP_ADD_ADVISOR	\nMaximum command power increase (£command_power ): $VALUE|+=0$
IDEA_COST_AIR_XP	Cost (£air_experience): $VALUE|-0$
TOPBAR_OFFICER_CORP	Officer Corps
TOPBAR_OFFICER_CORP_DESC	Manage advisors and theorists, select spirits for the army, navy and air force, and unlock doctrines.
IDEA_COST_NAVY_XP	Cost (£navy_experience): $VALUE|-0$
