infrastructure	Infrastructure
landmark_eiffel_tower_desc	Built in 1889, the tower is named after its chief designer, Gustave Eiffel. Standing on the Champ de Mars, it is regarded as France's foremost symbol and a source of national pride.
landmark_kremlin	Moscow Kremlin
landmark_kremlin_desc	The Kremlin is a fortress in central Moscow. Within its walls stands the Grand Kremlin Palace, formerly a residence of the Russian emperors. The Moskva River lies to the south, Saint Basil's Cathedral and Red Square to the east, and Alexander Garden to the west. Today, the Kremlin is universally recognised as a symbol of state power.
landmark_berlin_reichstag	Reichstag
landmark_berlin_reichstag_desc	The Reichstag, officially the Imperial Assembly Building, is the historic parliament building on Berlin's Platz der Republik. It housed the federal council until the fire of 1933. The building is an important symbol for the German people and is often associated with the country as a whole.
landmark_tokyo_imperial_palace	Imperial Palace
landmark_tokyo_imperial_palace_desc	Since the Meiji Restoration and the overthrow of the last shogun, the Tokyo Imperial Palace has been the emperor's principal residence. It symbolises the pride and reverence of the Japanese people, inspiring them to work diligently.
landmark_national_diet	National Diet Building
landmark_national_diet_desc	The Kokkai-gijido houses both chambers of Japan's National Diet. Completed in early 1936, it was built almost entirely from Japanese materials, with few exceptions. The previous building was destroyed by a devastating fire in 1925. Although the parliament building has been destroyed repeatedly, this time it will stand for centuries!
landmark_hakko_ichiu	Hakko Ichiu Monument
landmark_hakko_ichiu_desc	The Hakko Ichiu Tower was erected to commemorate the 2600th anniversary of Japan's founding. The monument symbolises Japan's destiny to unite the eight corners of the world under one roof.
landmark_hofburg_palace	Hofburg Palace
landmark_hofburg_palace_desc	The Hofburg is the former residence of the Habsburg dynasty, overlooking Heldenplatz. Perhaps an Austrian ruler, whether president or king, will one day govern from here again.
landmark_berlin_volkshalle	Hall of the People
landmark_berlin_volkshalle_desc	The Hall of the People symbolises our people's indomitable will and their worthy ambition to dominate the world. It will show everyone that conquest can achieve anything and that our homeland can realise even seemingly impossible dreams.
landmark_sadabad_complex	Saadabad Complex
landmark_sadabad_complex_desc	Built by the Qajars and expanded by the Pahlavi dynasty, the Saadabad Complex in northern Tehran serves as the shah's residence and a centre of power. Its palaces and gardens reflect Iran's shifting political landscape, from conservatism to modernism.
landmark_taj_mahal	Taj Mahal
landmark_taj_mahal_desc	The Taj Mahal is a masterpiece of Mughal architecture. Its great white marble domes and intricately designed gardens make it one of India's foremost symbols, a testament to both imperial power and historical heritage.
landmark_hagia_sophia	Hagia Sophia
landmark_hagia_sophia_desc	Standing at the crossroads of empires, Hagia Sophia has served as a Byzantine cathedral, an Ottoman mosque and a symbol of Istanbul's ever-changing rulers. Its massive dome and spacious halls reflect both its spiritual importance and the ambitions of those who sought to rule the city.
naval_supply_hub	Naval Supply Hub
naval_supply_hub_desc	This building allows your fleets to resupply and refuel here as well as at their home ports, extending the range of §Ytask forces§!.\nA naval supply hub can be built only in a coastal province with a naval base of at least level 8.
naval_headquarters	Naval Headquarters
naval_headquarters_desc	This building allows you to assign admirals, improving the effectiveness of §Ytask forces§! operating within the naval headquarters' range.\n\nNo more than $MAX|Y$ headquarters may have assigned admirals.\nCurrently assigned: $CURRNUM|H$\n\nNaval headquarters can be built only in a coastal province with a naval base of at least level 8.
