landmark_great_wall_section	Great Wall
BUILDING_STATE_MODIFIER_FORMATTER_HEADING	$BUILDING|H$ - state factors:
STATE_CATEGORY_tiny_island	Tiny Island
STATE_CATEGORY_small_island	Small Island
STATE_CATEGORY_large_island	Large Island
STATE_CATEGORY_city	City
STATE_CATEGORY_large_city	Large City
STATE_CATEGORY_town	Town
STATE_CATEGORY_large_town	Large Town
STATE_CATEGORY_enclave	Enclave
STATE_CATEGORY_metropolis	Metropolis
STATE_CATEGORY_pastoral	Pastoral Land
STATE_CATEGORY_rural	Rural Area
STATE_CATEGORY_megalopolis	Megalopolis
STATE_CATEGORY_wasteland	Wasteland
STRATEGIC_LOCATION_EXTRA_LEVEL	$BUILDING|Y$ maximum level: $AMOUNT|=+$
STRATEGIC_LOCATION_DESC	§YStrategic Location§!
BUILDING_DEPENDENCY_ERROR_DESC	Requires a level $LEVEL|Y$ $BUILDING|Y$ in the province
BUILDING_GROUP_TOOLTIP	\nMaximum buildings of this type per state: $LEVEL|R$. The limit is also consumed by:
energy_infrastructure	Reinforced Power Grid
industrial_infrastructure	High-capacity Power Grid
energy_infrastructure_desc	Reinforced transmission lines and multiple layers of redundancy guarantee an uninterrupted energy supply to our factories.
industrial_infrastructure_desc	Modernising the existing civilian grid will provide the greater capacity required by more energy-intensive industries.
