isolation	Isolation
COLONIAL_TEMPLATE_DESC	This is a colonial template from $COUNTRY_DEF|H$. The manpower contributed to colonial armies depends on the subject's autonomy level.
FOREIGN_EXILE_TEMPLATE_DESC	This is a $COUNTRY_ADJ|H$ template whose government in exile has taken refuge with us. We can copy it to create exile forces. Exile forces use the government in exile's manpower.
EXILE_TEMPLATE_DESC	This is an exile template from $COUNTRY_DEF|H$. Exile forces use the government in exile's manpower.
CONSTRUCTION_MASTER_BUILDING_LEVELS	$MASTER|UH$ is currently constructing $LVL|H$ levels of $BUILDING|H$ for us.
CONSTRUCTION_MASTER_BUILDING_REDUCE_LEVELS	We may reduce this building's level by only $LVL|R$.
CONSTRUCTION_MASTER_BUILDING_CANT_REDUCE	§RWe cannot reduce the level or cancel construction of this building.§!
CONSTRUCTION_INFO_MASTER	Construction is taking place in $WHO|H$. If we are not using all factories, they can contribute their own.
CONSTRUCTION_INFO_SUBJECT	$WHO|H$ is constructing this building for us. If they are not using all factories, we can contribute our own.
autonomy_communist_satellite	Satellite
autonomy_occupation_zone	Occupation Zone
autonomy_aat_defense_council_member	Nordic Defence Council Member
autonomy_austro_hungarian_subject	Austro-Hungarian Vassal
autonomy_volkskommissariat	Volkskommissariat
autonomy_eu_member	EU Member State
AUTONOMY_NOT_ENOUGH_TIME	§RAutonomy level can change only once every §Y$DURATION$ days§! (§Y$REMAINDER$ days remaining§!)§!
autonomy_sea_warlord_subject	Puppet Warlord
autonomy_sea_integrated_warlord_subject	Integrated Puppet Warlord
STATE_UPGRADE_BUILDING	Upgrade $BUILDING|H$.
STATE_UPGRADE_BUILDING_DESC	Construction time: $COST|H$
PROVINCE_BUILDING_LEVEL	$BUILDING|H$ (level: $LEVEL|H$/$MAX_LEVEL|H$)
STATE_BUILDING_LEVEL	$BUILDING|H$ (state level: $LEVEL|H$)
STATE_BUILDING_INCONSTRUCTION	Under construction: $LEVEL|H$
STATE_BUILDING_SLOT_TECH	We have no information on civilian infrastructure in this state
STATE_BUILDING_AIR_UNKNOWN_ANTI_AIR_TECH	We have no information on anti-air technology in this state
STATE_BUILDING_AIR_UNKNOWN_ANTI_AIR	We have no information on anti-air installations in this state
STATE_BUILDING_NO_KNOWN_FACTORIES	We have no information on factories in this state
STATE_BUILDING_SOME_KNOWN_FACTORIES	Intelligence indicates at least $AMOUNT|H$ factories in this state
STATE_CONVERT_BUILDING	Convert $FACTOR|H$ $BUILDING_FROM$ into §H1§! $BUILDING_TO$.
STATE_CONTROLLER	Controller: @$TAG$$COUNTRY|H$
STATE_OWNER	Owner: @$TAG$$COUNTRY|H$
STATE_OWNER_CORE	§GCore Territory§!
STATE_OWNER_NON_CORE	§YColony§!
STATE_OWNER_OCCUPIED	§YOccupied State§!
STATE_CORE	§T$STATE|H$ is a core state of $COUNTRY|H$.§!
STATE_CORE_DESC	Core territory is an integral part of your country. If it falls under another country's control, you have a legitimate claim to wage war and reclaim it. If successful, no occupation policy is required: the territory simply becomes part of your homeland again.
STATE_CLAIM	§T$COUNTRY|H$ claims $STATE|H$.§!
STATE_CONTESTED_OWNER	§T$COUNTRY|H$ is a contested owner of $STATE|H$.§!
STATE_POPULATION	§HRecruitable Population§!: $AVAIL|*Y$/$MAXAVAIL|*Y$\n§HCivilian Population§!: $LOCKED|*Y$/$MAXLOCKED|*Y$\n
MONTHLY_BASE_GROWTH	Base: $VALUE|H%2$
STATE_POPULATION_GROWTH	§HMonthly Growth§!: $VALUE|%2$ (recruitable: $AVAIL|*+$, civilian: $LOCKED|*+$)
LOCAL_MANPOWER_ACCESSIBLE_FACTOR	Base eligible for service: §R-$VAL|%$§!
LOCAL_MANPOWER_ACCESSIBLE_NON_CORE_FACTOR	Base eligible for service (non-core territory): §R-$VAL|%$§!
LOCAL_MANPOWER_ACCESSIBLE_NON_CORE_TOTAL	Total eligible for service (non-core territory): §R-$VAL|%$§!
STATE_POPULATION_DESC	The number of citizens living in this state. Your conscription law allows part of this manpower to serve in your divisions, ships and aircraft.
STATE_SET_POLICY	§GClick to change occupation policy in $STATE|H$§!
STATE_NOT_OCCUPIED	§RYou must occupy $STATE|H$ to change its occupation policy§!
STATE_CLAIMS	Claims
STATE_NO_RESOURCES	§T$STATE|H$ has no resources.§!
LOCAL_PROVINCE_MODIFIERS	\n§HLocal Province Modifiers:§!
UNLOCKED_SLOTS	Available slots: $NUM|Y$/$MAX|Y$
UNLOCKED_SLOTS_DESC	The number of available slots depends on the state's infrastructure and population.
UNLOCKED_SLOTS_CAP	Limited to $NUM|Y$ by technology
UNLOCKED_SLOTS_FROM_POPULATION	Limited to $NUM|Y$ by population
UNLOCKED_SLOTS_FROM_INFRASTRUCTURE	Limited to $NUM|Y$ by infrastructure
UNLOCKED_SLOTS_ABSOLUTE_MAX	Maximum: $NUM|Y$
UNLOCKED_SLOTS_CAP_DESC_HEADER	Technology limit:
UNLOCKED_SLOTS_FROM_POPULATION_DESC_HEADER	Population limit:
UNLOCKED_SLOTS_FROM_INFRASTRUCTURE_DESC_HEADER	Infrastructure limit:
UNLOCKED_SLOTS_BASE	Base limit: $NUM|Y$
UNLOCKED_SLOTS_STATE_EXTRA	Extra slots in this state: $NUM|Y$
PROVINCE_STATE_CATERGORY_TOOLTIP	Category: $CATEGORY|Y$
PROVINCE_STATE_IMPASSABLE	Impassable: §Rtroops cannot enter§!
wasteland	Wasteland
city	Urban Region
large_city	Dense Urban Region
metropolis	Metropolis
megalopolis	Megalopolis
town	Developed Rural Region
large_town	Sparse Urban Region
rural	Rural Region
enclave	Enclave
small_island	Small Island
tiny_island	Tiny Island
pastoral	Pastoral Land
OCCUPATION_BREAKDOWN	Occupation breakdown:
STATE_OWNER_RESISTANCE_NON_CORE_INFO	$COUNTRY|H$ will have access to only $MANPOWER|-%.0$ of the state's manpower.
STATE_OWNER_RESISTANCE_NON_CORE_INFO_WITH_MODIFIERS	$COUNTRY|H$ will have access to only $MANPOWER|-%.0$ of the state's manpower. It will also receive the following modifiers due to its occupation status:
STATE_OWNER_MODIFIER_INFO	The country receives the following modifiers due to its occupation status:
STATE_FOREIGN_RESOURCE_OWNER	Transferred to $COUNTRY|H$
