ideas = {
	political_advisor_head_of_state = {
		minister_BHG_Otmar_Rill = { name = minister_BHG_Otmar_Rill default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = BHG } visible = { tag = BHG } allowed_to_remove = { } traits = { minister_trait_BHG_hos_counting_house } }
		minister_TFF_Mara_Free = { name = minister_TFF_Mara_Free default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = TFF } visible = { tag = TFF } allowed_to_remove = { } traits = { minister_trait_TFF_hos_open_assembly } }
		minister_BGT_Albrecht_Dorn = { name = minister_BGT_Albrecht_Dorn default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = BGT } visible = { tag = BGT } allowed_to_remove = { } traits = { minister_trait_BGT_hos_border_count } }
		minister_BBV_Dieter_Bann = { name = minister_BBV_Dieter_Bann default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = BBV } visible = { tag = BBV } allowed_to_remove = { } traits = { minister_trait_BBV_hos_baronial_table } }
		minister_BCM_Emil_Mes = { name = minister_BCM_Emil_Mes default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = BCM } visible = { tag = BCM } allowed_to_remove = { } traits = { minister_trait_BCM_hos_mesjan_broker } }
		minister_YPR_Amel_Sur = { name = minister_YPR_Amel_Sur default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = YPR } visible = { tag = YPR } allowed_to_remove = { } traits = { minister_trait_YPR_hos_council_speaker } }
		minister_BTL_Victor_Nesh = { name = minister_BTL_Victor_Nesh default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = BTL } visible = { tag = BTL } allowed_to_remove = { } traits = { minister_trait_BTL_hos_orderly_notary } }
	}

	political_advisor_minister_of_defense = {
		minister_STP_Tarik_Menebhi = { name = minister_STP_Tarik_Menebhi default = no cost = 75 picture = minister_STP_Tarik_Menebhi allowed = { tag = STP } visible = { tag = STP } allowed_to_remove = { } traits = { minister_trait_STP_def_banquet_guard } }
		minister_VAL_Arseny_Bragin = { name = minister_VAL_Arseny_Bragin default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = VAL } visible = { tag = VAL } allowed_to_remove = { } traits = { minister_trait_VAL_def_contract_captain } }
		minister_IVN_Darya_Koval = { name = minister_IVN_Darya_Koval default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = IVN } visible = { tag = IVN } allowed_to_remove = { } traits = { minister_trait_IVN_def_bunker_doctrine } }
		minister_WIT_Marta_Lisk = { name = minister_WIT_Marta_Lisk default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = WIT } visible = { tag = WIT } allowed_to_remove = { } traits = { minister_trait_WIT_def_lean_columns } }
		minister_WRK_Anton_Bagley = { name = minister_WRK_Anton_Bagley default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = WRK } visible = { tag = WRK } allowed_to_remove = { } traits = { minister_trait_WRK_def_red_alarmist } }
		minister_PIV_Lena_Solod = { name = minister_PIV_Lena_Solod default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = PIV } visible = { tag = PIV } allowed_to_remove = { } traits = { minister_trait_PIV_def_cellar_recruiter } }
		minister_RUS_Varlam_Oskol = { name = minister_RUS_Varlam_Oskol default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = RUS } visible = { tag = RUS } allowed_to_remove = { } traits = { minister_trait_RUS_def_frozen_line } }
		minister_NAM_Mara_Kluch = { name = minister_NAM_Mara_Kluch default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = NAM } visible = { tag = NAM } allowed_to_remove = { } traits = { minister_trait_NAM_def_quota_battalions } }
		minister_VAD_Ruslan_Pike = { name = minister_VAD_Ruslan_Pike default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = VAD } visible = { tag = VAD } allowed_to_remove = { } traits = { minister_trait_VAD_def_forward_bayonets } }
		minister_ROM_Maks_Abel = { name = minister_ROM_Maks_Abel default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = ROM } visible = { tag = ROM } allowed_to_remove = { } traits = { minister_trait_ROM_def_drill_square } }
		minister_SOL_Diego_Sol = { name = minister_SOL_Diego_Sol default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = SOL } visible = { tag = SOL } allowed_to_remove = { } traits = { minister_trait_SOL_def_sun_supply } }
		minister_TRU_Boris_Clay = { name = minister_TRU_Boris_Clay default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = TRU } visible = { tag = TRU } allowed_to_remove = { } traits = { minister_trait_TRU_def_square_sergeant } }
		minister_ZAO_Karim_Dol = { name = minister_ZAO_Karim_Dol default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = ZAO } visible = { tag = ZAO } allowed_to_remove = { } traits = { minister_trait_ZAO_def_zone_militias } }
		minister_VLA_Igor_Lav = { name = minister_VLA_Igor_Lav default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = VLA } visible = { tag = VLA } allowed_to_remove = { } traits = { minister_trait_VLA_def_mobile_stocks } }
		minister_PWR_Marta_Cinder = { name = minister_PWR_Marta_Cinder default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = PWR } visible = { tag = PWR } allowed_to_remove = { } traits = { minister_trait_PWR_def_ash_guard } }
		minister_DAN_Vera_Toch = { name = minister_DAN_Vera_Toch default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = DAN } visible = { tag = DAN } allowed_to_remove = { } traits = { minister_trait_DAN_def_people_drill } }
		minister_NOD_Reto_Bane = { name = minister_NOD_Reto_Bane default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = NOD } visible = { tag = NOD } allowed_to_remove = { } traits = { minister_trait_NOD_def_festival_raids } }
		minister_EFL_Mira_Leto = { name = minister_EFL_Mira_Leto default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = EFL } visible = { tag = EFL } allowed_to_remove = { } traits = { minister_trait_EFL_def_swift_orders } }
		minister_COF_Morven_Bark = { name = minister_COF_Morven_Bark default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = COF } visible = { tag = COF } allowed_to_remove = { } traits = { minister_trait_COF_def_forest_paths } }
		minister_BJK_Kellan_Mark = { name = minister_BJK_Kellan_Mark default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = BJK } visible = { tag = BJK } allowed_to_remove = { } traits = { minister_trait_BJK_def_knightly_host } }
		minister_BLD_Bret_Havel = { name = minister_BLD_Bret_Havel default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = BLD } visible = { tag = BLD } allowed_to_remove = { } traits = { minister_trait_BLD_def_stone_wardens } }
		minister_BHG_Theodor_Brant = { name = minister_BHG_Theodor_Brant default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = BHG } visible = { tag = BHG } allowed_to_remove = { } traits = { minister_trait_BHG_def_county_reserve } }
		minister_TFF_Colt_Ardent = { name = minister_TFF_Colt_Ardent default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = TFF } visible = { tag = TFF } allowed_to_remove = { } traits = { minister_trait_TFF_def_free_rifles } }
		minister_BGT_Kaspar_Krieg = { name = minister_BGT_Kaspar_Krieg default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = BGT } visible = { tag = BGT } allowed_to_remove = { } traits = { minister_trait_BGT_def_torkrayt_lancers } }
		minister_BBV_Rolf_Stahl = { name = minister_BBV_Rolf_Stahl default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = BBV } visible = { tag = BBV } allowed_to_remove = { } traits = { minister_trait_BBV_def_baronial_shields } }
		minister_BCM_Bruno_Cross = { name = minister_BCM_Bruno_Cross default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = BCM } visible = { tag = BCM } allowed_to_remove = { } traits = { minister_trait_BCM_def_crossroad_posts } }
		minister_YPR_Loran_Vek = { name = minister_YPR_Loran_Vek default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = YPR } visible = { tag = YPR } allowed_to_remove = { } traits = { minister_trait_YPR_def_council_guard } }
		minister_BTL_Dario_Platt = { name = minister_BTL_Dario_Platt default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = BTL } visible = { tag = BTL } allowed_to_remove = { } traits = { minister_trait_BTL_def_ordered_barracks } }
	}

	political_advisor_minister_of_economy = {
		minister_STP_Camus_Onyx = { name = minister_STP_Camus_Onyx default = no cost = 75 picture = minister_STP_Camus_Onyx allowed = { tag = STP } visible = { tag = STP } allowed_to_remove = { } traits = { minister_trait_STP_eco_silk_ledgers } }
		minister_VAL_Miron_Sablev = { name = minister_VAL_Miron_Sablev default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = VAL } visible = { tag = VAL } allowed_to_remove = { } traits = { minister_trait_VAL_eco_weapon_broker } }
		minister_IVN_Saveli_Ankor = { name = minister_IVN_Saveli_Ankor default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = IVN } visible = { tag = IVN } allowed_to_remove = { } traits = { minister_trait_IVN_eco_forge_accountant } }
		minister_WIT_Bruno_Hel = { name = minister_WIT_Bruno_Hel default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = WIT } visible = { tag = WIT } allowed_to_remove = { } traits = { minister_trait_WIT_eco_thrifty_foundries } }
		minister_WRK_Ted_Cuttle = { name = minister_WRK_Ted_Cuttle default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = WRK } visible = { tag = WRK } allowed_to_remove = { } traits = { minister_trait_WRK_eco_smokestack_planner } }
		minister_PIV_Timofey_Brin = { name = minister_PIV_Timofey_Brin default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = PIV } visible = { tag = PIV } allowed_to_remove = { } traits = { minister_trait_PIV_eco_brewery_cartel } }
		minister_RUS_Pelageya_Niva = { name = minister_RUS_Pelageya_Niva default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = RUS } visible = { tag = RUS } allowed_to_remove = { } traits = { minister_trait_RUS_eco_grain_and_steel } }
		minister_NAM_Boris_Nar = { name = minister_NAM_Boris_Nar default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = NAM } visible = { tag = NAM } allowed_to_remove = { } traits = { minister_trait_NAM_eco_quota_keeper } }
		minister_VAD_Yulia_Mera = { name = minister_VAD_Yulia_Mera default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = VAD } visible = { tag = VAD } allowed_to_remove = { } traits = { minister_trait_VAD_eco_front_workshops } }
		minister_ROM_Greta_Feld = { name = minister_ROM_Greta_Feld default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = ROM } visible = { tag = ROM } allowed_to_remove = { } traits = { minister_trait_ROM_eco_ordered_procurement } }
		minister_SOL_Alba_Rios = { name = minister_SOL_Alba_Rios default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = SOL } visible = { tag = SOL } allowed_to_remove = { } traits = { minister_trait_SOL_eco_sun_roads } }
		minister_TRU_Vera_Holt = { name = minister_TRU_Vera_Holt default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = TRU } visible = { tag = TRU } allowed_to_remove = { } traits = { minister_trait_TRU_eco_plain_books } }
		minister_ZAO_Samira_Kett = { name = minister_ZAO_Samira_Kett default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = ZAO } visible = { tag = ZAO } allowed_to_remove = { } traits = { minister_trait_ZAO_eco_border_markets } }
		minister_VLA_Oksana_Prid = { name = minister_VLA_Oksana_Prid default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = VLA } visible = { tag = VLA } allowed_to_remove = { } traits = { minister_trait_VLA_eco_arms_quarter } }
		minister_PWR_Grig_Ash = { name = minister_PWR_Grig_Ash default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = PWR } visible = { tag = PWR } allowed_to_remove = { } traits = { minister_trait_PWR_eco_salvage_boards } }
		minister_DAN_Makar_Holm = { name = minister_DAN_Makar_Holm default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = DAN } visible = { tag = DAN } allowed_to_remove = { } traits = { minister_trait_DAN_eco_communal_rations } }
		minister_NOD_Selma_Korr = { name = minister_NOD_Selma_Korr default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = NOD } visible = { tag = NOD } allowed_to_remove = { } traits = { minister_trait_NOD_eco_pleasure_market } }
		minister_EFL_Ulf_Rann = { name = minister_EFL_Ulf_Rann default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = EFL } visible = { tag = EFL } allowed_to_remove = { } traits = { minister_trait_EFL_eco_clear_invoices } }
		minister_COF_Elya_Moss = { name = minister_COF_Elya_Moss default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = COF } visible = { tag = COF } allowed_to_remove = { } traits = { minister_trait_COF_eco_wild_harvest } }
		minister_BJK_Mert_Alden = { name = minister_BJK_Mert_Alden default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = BJK } visible = { tag = BJK } allowed_to_remove = { } traits = { minister_trait_BJK_eco_royal_tithe } }
		minister_BLD_Clovis_Ren = { name = minister_BLD_Clovis_Ren default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = BLD } visible = { tag = BLD } allowed_to_remove = { } traits = { minister_trait_BLD_eco_ducal_steward } }
		minister_BHG_Oswin_Kell = { name = minister_BHG_Oswin_Kell default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = BHG } visible = { tag = BHG } allowed_to_remove = { } traits = { minister_trait_BHG_eco_county_mines } }
		minister_TFF_Sella_Pike = { name = minister_TFF_Sella_Pike default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = TFF } visible = { tag = TFF } allowed_to_remove = { } traits = { minister_trait_TFF_eco_open_caravans } }
		minister_BGT_Ulrich_Mint = { name = minister_BGT_Ulrich_Mint default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = BGT } visible = { tag = BGT } allowed_to_remove = { } traits = { minister_trait_BGT_eco_border_mints } }
		minister_BBV_Marta_Vash = { name = minister_BBV_Marta_Vash default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = BBV } visible = { tag = BBV } allowed_to_remove = { } traits = { minister_trait_BBV_eco_baronial_levies } }
		minister_BCM_Oskar_Fen = { name = minister_BCM_Oskar_Fen default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = BCM } visible = { tag = BCM } allowed_to_remove = { } traits = { minister_trait_BCM_eco_mesjan_tolls } }
		minister_YPR_Seta_Vorn = { name = minister_YPR_Seta_Vorn default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = YPR } visible = { tag = YPR } allowed_to_remove = { } traits = { minister_trait_YPR_eco_shared_budget } }
		minister_BTL_Elsa_Rein = { name = minister_BTL_Elsa_Rein default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = BTL } visible = { tag = BTL } allowed_to_remove = { } traits = { minister_trait_BTL_eco_clean_ledgers } }
	}

	political_advisor_minister_of_health = {
		minister_STP_Lorian_Vell = { name = minister_STP_Lorian_Vell default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = STP } visible = { tag = STP } allowed_to_remove = { } traits = { minister_trait_STP_hea_private_clinics } }
		minister_VAL_Lada_Khrom = { name = minister_VAL_Lada_Khrom default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = VAL } visible = { tag = VAL } allowed_to_remove = { } traits = { minister_trait_VAL_hea_field_surgeons } }
		minister_IVN_Inna_Rot = { name = minister_IVN_Inna_Rot default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = IVN } visible = { tag = IVN } allowed_to_remove = { } traits = { minister_trait_IVN_hea_quiet_hospitals } }
		minister_WIT_Nika_Voren = { name = minister_WIT_Nika_Voren default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = WIT } visible = { tag = WIT } allowed_to_remove = { } traits = { minister_trait_WIT_hea_fast_aid } }
		minister_WRK_Oliver_Larry_Gates = { name = minister_WRK_Oliver_Larry_Gates default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = WRK } visible = { tag = WRK } allowed_to_remove = { } traits = { minister_trait_WRK_hea_triage_boards } }
		minister_PIV_Masha_Kedr = { name = minister_PIV_Masha_Kedr default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = PIV } visible = { tag = PIV } allowed_to_remove = { } traits = { minister_trait_PIV_hea_warm_cellars } }
		minister_RUS_Efim_Bogor = { name = minister_RUS_Efim_Bogor default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = RUS } visible = { tag = RUS } allowed_to_remove = { } traits = { minister_trait_RUS_hea_rural_doctors } }
		minister_NAM_Olga_Sett = { name = minister_NAM_Olga_Sett default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = NAM } visible = { tag = NAM } allowed_to_remove = { } traits = { minister_trait_NAM_hea_registry_care } }
		minister_VAD_Roman_Zhiv = { name = minister_VAD_Roman_Zhiv default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = VAD } visible = { tag = VAD } allowed_to_remove = { } traits = { minister_trait_VAD_hea_march_medicine } }
		minister_ROM_Ilon_Mertz = { name = minister_ROM_Ilon_Mertz default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = ROM } visible = { tag = ROM } allowed_to_remove = { } traits = { minister_trait_ROM_hea_orderly_wards } }
		minister_SOL_Rada_Klin = { name = minister_SOL_Rada_Klin default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = SOL } visible = { tag = SOL } allowed_to_remove = { } traits = { minister_trait_SOL_hea_sun_sanatoriums } }
		minister_TRU_Ilya_Ward = { name = minister_TRU_Ilya_Ward default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = TRU } visible = { tag = TRU } allowed_to_remove = { } traits = { minister_trait_TRU_hea_plain_clinics } }
		minister_ZAO_Yara_Vin = { name = minister_ZAO_Yara_Vin default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = ZAO } visible = { tag = ZAO } allowed_to_remove = { } traits = { minister_trait_ZAO_hea_border_hospices } }
		minister_VLA_Matvey_Shtab = { name = minister_VLA_Matvey_Shtab default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = VLA } visible = { tag = VLA } allowed_to_remove = { } traits = { minister_trait_VLA_hea_garrison_doctors } }
		minister_PWR_Daria_Fen = { name = minister_PWR_Daria_Fen default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = PWR } visible = { tag = PWR } allowed_to_remove = { } traits = { minister_trait_PWR_hea_ash_shelters } }
		minister_DAN_Liza_Fen = { name = minister_DAN_Liza_Fen default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = DAN } visible = { tag = DAN } allowed_to_remove = { } traits = { minister_trait_DAN_hea_public_tables } }
		minister_NOD_Nestor_Vale = { name = minister_NOD_Nestor_Vale default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = NOD } visible = { tag = NOD } allowed_to_remove = { } traits = { minister_trait_NOD_hea_pleasure_doctor } }
		minister_EFL_Tavia_El = { name = minister_EFL_Tavia_El default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = EFL } visible = { tag = EFL } allowed_to_remove = { } traits = { minister_trait_EFL_hea_clear_water } }
		minister_COF_Tera_Bloom = { name = minister_COF_Tera_Bloom default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = COF } visible = { tag = COF } allowed_to_remove = { } traits = { minister_trait_COF_hea_herbal_circles } }
		minister_BJK_Olva_Tress = { name = minister_BJK_Olva_Tress default = no cost = 75 picture = generic_political_advisor_asia_2 allowed = { tag = BJK } visible = { tag = BJK } allowed_to_remove = { } traits = { minister_trait_BJK_hea_noble_infirmary } }
		minister_BLD_Elain_Moor = { name = minister_BLD_Elain_Moor default = no cost = 75 picture = generic_political_advisor_arab_1 allowed = { tag = BLD } visible = { tag = BLD } allowed_to_remove = { } traits = { minister_trait_BLD_hea_ducal_physician } }
		minister_BHG_Helga_Morn = { name = minister_BHG_Helga_Morn default = no cost = 75 picture = generic_political_advisor_arab_2 allowed = { tag = BHG } visible = { tag = BHG } allowed_to_remove = { } traits = { minister_trait_BHG_hea_county_midwives } }
		minister_TFF_Nora_Fallow = { name = minister_TFF_Nora_Fallow default = no cost = 75 picture = generic_political_advisor_arab_3 allowed = { tag = TFF } visible = { tag = TFF } allowed_to_remove = { } traits = { minister_trait_TFF_hea_trail_menders } }
		minister_BGT_Bruna_Hesh = { name = minister_BGT_Bruna_Hesh default = no cost = 75 picture = generic_political_advisor_europe_1 allowed = { tag = BGT } visible = { tag = BGT } allowed_to_remove = { } traits = { minister_trait_BGT_hea_lancer_aid } }
		minister_BBV_Elise_Noon = { name = minister_BBV_Elise_Noon default = no cost = 75 picture = generic_political_advisor_europe_2 allowed = { tag = BBV } visible = { tag = BBV } allowed_to_remove = { } traits = { minister_trait_BBV_hea_baroness_care } }
		minister_BCM_Livia_Grun = { name = minister_BCM_Livia_Grun default = no cost = 75 picture = generic_political_advisor_europe_3 allowed = { tag = BCM } visible = { tag = BCM } allowed_to_remove = { } traits = { minister_trait_BCM_hea_market_clinics } }
		minister_YPR_Min_Carel = { name = minister_YPR_Min_Carel default = no cost = 75 picture = generic_political_advisor_europe_4 allowed = { tag = YPR } visible = { tag = YPR } allowed_to_remove = { } traits = { minister_trait_YPR_hea_collective_care } }
		minister_BTL_Mina_Kurel = { name = minister_BTL_Mina_Kurel default = no cost = 75 picture = generic_political_advisor_europe_5 allowed = { tag = BTL } visible = { tag = BTL } allowed_to_remove = { } traits = { minister_trait_BTL_hea_orderly_care } }
	}

	political_advisor_minister_of_education = {
		minister_STP_Vesper_Monray = { name = minister_STP_Vesper_Monray default = no cost = 75 picture = generic_political_advisor_europe_6 allowed = { tag = STP } visible = { tag = STP } allowed_to_remove = { } traits = { minister_trait_STP_edu_salon_academies } }
		minister_VAL_Einar_Toll = { name = minister_VAL_Einar_Toll default = no cost = 75 picture = generic_political_advisor_south_america_1 allowed = { tag = VAL } visible = { tag = VAL } allowed_to_remove = { } traits = { minister_trait_VAL_edu_ballistics_schools } }
		minister_IVN_Yaroslav_Metr = { name = minister_IVN_Yaroslav_Metr default = no cost = 75 picture = generic_political_advisor_south_america_2 allowed = { tag = IVN } visible = { tag = IVN } allowed_to_remove = { } traits = { minister_trait_IVN_edu_closed_lyceums } }
		minister_WIT_Pavel_Kord = { name = minister_WIT_Pavel_Kord default = no cost = 75 picture = generic_political_advisor_asia_1 allowed = { tag = WIT } visible = { tag = WIT } allowed_to_remove = { } traits = { minister_trait_WIT_edu_practical_lessons } }
