FACTION_SP_OPEN_FACILITY	Open facility: $COST|H$
war_declaration_rules_filter_tooltip	§GClick§! to toggle the §HWar Declaration§! filter
FACTION_INTELLIGENCE_TAB	Faction Intelligence
FACTION_RANKING	Global rank: $VAL|H$
THEATER_COMMANDER_MODIFIER	$NAME|H$ (faction '$FACTION|H$', theatre '$THEATER|H$'): $VAL|0%-$
THEATER_COMMANDER_SUPPLY_SKILL_DESC	This commander's planning and logistics skills reduce supply consumption by $VAL|H$
FACTION_THEATER_POPUP_DESC	Are you sure you wish to create a new theatre? This will cost $COST|0H$ £faction_initiative_texticon£
FACTION_THEATER_SHOW_PIN_TOOLTIP	Toggle §Hfaction theatre§! visibility in the §Hdefault§!, §Hnaval strategic§! and §Hair strategic§! map modes.
FACTION_EXECUTE_CAREFUL_DESC	When executing the plan, troops will attack heavily fortified positions only if they are unoccupied. They will not attack provinces if doing so would stretch and weaken the front line.\n\n§gThis affects AI-controlled faction units within the theatre, but not units controlled by players.§!
FACTION_EXECUTE_BALANCED_DESC	Standard operation execution rules apply. Troops try to advance while keeping the front line as short as possible and may attack fortified positions.\n\n§gThis affects AI-controlled faction units within the theatre, but not units controlled by players.§!
FACTION_EXECUTE_RUSH_DESC	Troops will attack provinces included in the plan even if doing so stretches the front line or leaves some units exposed.\n\n§gThis affects AI-controlled faction units within the theatre, but not units controlled by players.§!
theater_western_europe	Western Europe
theater_eastern_europe	Eastern Europe
theater_barbarossa_north	Army Group North
theater_barbarossa_center	Army Group Centre
