rule_group_war_relation	War Relations
an_armored_fist_goal_desc	New times create opportunities for new tactics. The future belongs to tanks. Our alliance must possess enough of them to dominate the battlefield.
an_infantry_army_goal_name	Expand Our Infantry
high_seas_fleet_goal_name	Expand the Capital Ship Fleet
high_seas_fleet_goal_desc	It is vital that our enemies do not gain control of the North Atlantic. If we prevent this, we need not fear a naval blockade, while our own fleets can operate freely.
high_seas_fleet_tech_bonus	$high_seas_fleet_goal_name$ Goal Bonus
control_the_chinese_coast_goal_name	Control the Coastline
control_the_chinese_coast_goal_desc	If attacked, we must retain access to our ports for as long as possible. Our survival depends on receiving goods from overseas.
guerilla_expansion_goal_name	Organise Resistance
guerilla_expansion_goal_desc	We may lack the strength to fight the enemy on their terms. We will therefore fight them on ours.
industrial_expansion_goal_name	Industrial Expansion
industrial_domination_goal_name	Expand Civilian Industry
industrial_domination_goal_desc	Modern warfare rests on industrial capacity. Let us ensure that no one in the world can match ours.
industrial_expansion_tech_bonus	$industrial_expansion_goal_name$ Goal Bonus
industrial_research_goal_name	Research $construction4$
industrial_research_goal_desc	To become a major force, we must provide every faction member with modern industrial technology.
secure_chinese_waters_goal_name	Secure Chinese Waters
secure_chinese_waters_goal_desc	We dominate on land, but our extensive coastline means we must ensure no one can attack us from the sea. Our security begins far from shore.
faction_goal_subjugate_the_faction_name	Subjugate the Faction
faction_goal_subjugate_the_faction_desc	Only a united front under a strong leader can halt foreign invaders. Many voices will become a single harmonious chorus.
faction_goal_north_subjugated_name	Subjugate the North
faction_goal_north_subjugated_desc	By concentrating on integrating this part of our faction, we will show the other warlords which way the wind is blowing and bring them into line.
faction_goal_west_subjugated_name	Subjugate the West
faction_goal_west_subjugated_desc	By concentrating on integrating this part of our faction, we will show the other warlords which way the wind is blowing and bring them into line.
faction_goal_south_subjugated_name	Subjugate the South
faction_goal_south_subjugated_desc	By concentrating on integrating this part of our faction, we will show the other warlords which way the wind is blowing and bring them into line.
faction_goal_no_japanese_in_china_name	Expel the Invaders
faction_goal_the_northern_mandate_name	Control Eastern Siberia
faction_goal_the_northern_mandate_desc	To offer our people hope of prosperity, we need Siberia's abundant territory and resources. Its current owners cannot manage these riches properly, giving us every right to the land.
faction_goal_the_southern_mandate_name	Control Southeast Asia
faction_goal_the_southern_mandate_desc	In our former days of glory, our influence extended over the regions to our south, and we will regain control of them. Their wealth will provide us with endless opportunities.
faction_goal_the_greater_game_name	Control Central Asia
faction_goal_the_greater_game_desc	Many empires tried to subdue Central Asia and were driven out. It is time for us to ride west across the steppes again.
suppress_asian_communism_goal_name	Combat Communism in Asia
suppress_asian_communism_goal_desc	Communism threatens our traditional way of life and the natural order. We must work together to eradicate it wherever it appears.
strategic_resource_control_goal_name	Strategic Resource Control
strategic_resource_control_goal_desc	Whoever controls strategic resources controls world politics.
align_china_goal_name	Bring China into Line
align_china_goal_desc	China's competing factions threaten the security of the entire region. Replacing them with friendly ones would be the best solution.
control_the_chinese_capitals_goal_name	Capture China's Capitals
control_the_chinese_capitals_goal_desc	Taking control of China's historical capitals will significantly weaken resistance to our plans.
war_on_communism_in_asia_goal_name	Declare War on Communism in Asia
war_on_communism_in_asia_goal_desc	Communism can be defeated decisively only by force of arms. To protect ourselves from its influence, we must eradicate this contagion throughout Asia.
coastal_security_goal_name	Control the Coast
coastal_security_goal_desc	We must achieve complete control of the seas of East and Southeast Asia. Only then can we guarantee that Western imperialists will not invade our shores.
secure_the_oil_supply_goal_name	Secure the Oil Supply
secure_the_oil_supply_goal_desc	If we intend to fight a long war, we must secure sufficient oil supplies at any cost.
secure_the_oil_supply_tech_bonus	Secure the Oil Supply Goal Bonus
