FACTION_LEADER	Faction leader: §Y$COUNTRY$§!
FACTION_MEMBER_UPGRADE_LESS_THAN	$COUNTRYNAME|H$'s faction upgrade $UPGRADENAME|H$ is below $UPGRADENAME|H$
FACTION_MEMBER_UPGRADE_MORE_THAN	$COUNTRYNAME|H$'s faction upgrade $UPGRADENAME|H$ is above $UPGRADENAME|H$
FACTION_MEMBER_UPGRADE_EQUALS	$COUNTRYNAME|H$ has the faction upgrade $UPGRADENAME|H$
FACTION_GOAL_FULFILLMENT_IN_RANGE	Progress towards $GOAL|H$ is between $MIN|%0H$ and $MAX|%0H$
FACTION_GOAL_FULFILLMENT_NOT_IN_RANGE	Progress towards $GOAL|H$ is below $MIN|%0H$ or above $MAX|%0H$
FACTION_GOAL_FULFILLMENT_LESS_THAN	Progress towards $GOAL|H$ is below $VALUE|%0H$
FACTION_GOAL_FULFILLMENT_MORE_THAN	Progress towards $GOAL|H$ is above $VALUE|%0H$
FACTION_POWER_PROJECTION_LESS_THAN	Faction power projection is below $VALUE|H$
FACTION_POWER_PROJECTION_MORE_THAN	Faction power projection is above $VALUE|H$
FACTION_INFLUENCE_LESS_THAN	Faction influence is below $VALUE|H$
FACTION_INFLUENCE_MORE_THAN	Faction influence is above $VALUE|H$
FACTION_INFLUENCE_RANK_LESS_THAN	Faction influence rank is below $VALUE|H0$
FACTION_INFLUENCE_RANK_MORE_THAN	Faction influence rank is above $VALUE|H0$
rule_group_geographical	Geography
rule_group_ideology_allies	Allies
rule_group_ideology	Ideology
rule_group_war	War and Peace
rule_group_war_declaration	War Declaration
rule_group_war_declaration_declarer	Declaring Country
rule_group_war_declaration_target	Target Country
rule_group_war_declaration_situation	World Situation
rule_group_generate_wargoal_threat	Justification
rule_group_member_rules	Member Rules
rule_group_manpower	Manpower
manpower_contribution_rule	Manpower Contribution
contribution_rule	What contribution limits will we set?
rule_group_dismissal_ideology	Ideology
rule_group_dismissal_actions	Actions
rule_group_call_to_war	Initiator
rule_group_guarantee	Guarantee Tension
